CS_del_mb	CS_del_dtest	HB_del_mb	HB_del_dtest	ICNV_del_mb	INCV_del_dtest
1	-	1	-	1	-
1	-	1	-	1	-
1	-	1	-	1	-
1	-	1	-	1	-
1	+	1	-	1	-
1	+	1	+	1	-
1	-	1	-	1	-
1	-	1	-	1	-
1	-	1	-	1	-
1	-	1	-	1	-
1	+	1	-	1	-
1	-	1	-	1	-
1	-	1	-	1	-
1	-	1	-	1	-
1	-	1	-	1	-
1	-	1	-	1	-
1	-	1	+	1	+
1	-	1	+	1	-
1	+	1	+	1	-
1	-	1	+	1	-
1	-	1	+	1	-
1	-	1	-	1	-
2	-	2	-	2	-
2	-	2	-	2	-
2	-	2	-	2	-
2	-	2	-	2	-
2	+	2	-	2	-
2	+	2	+	2	-
2	-	2	-	2	-
2	-	2	-	2	-
2	-	2	-	2	-
2	-	2	-	2	-
2	+	2	-	2	+
2	-	2	-	2	-
2	-	2	-	2	-
2	-	2	-	2	+
2	-	2	-	2	-
2	+	2	-	2	-
2	-	2	+	2	+
2	+	2	+	2	-
2	+	2	+	2	-
2	-	2	+	2	-
2	-	2	-	2	-
2	-	2	-	2	-
3	-	3	-	3	+
3	-	3	-	3	-
3	-	3	-	3	-
3	-	3	-	3	+
3	+	3	-	3	-
3	+	3	+	3	+
3	-	3	-	3	-
3	-	3	-	3	-
3	-	3	-	3	-
3	+	3	-	3	-
3	+	3	-	3	+
3	+	3	-	3	-
3	-	3	+	3	+
3	-	3	+	3	+
3	-	3	-	3	-
3	-	3	-	3	-
3	-	3	+	3	+
3	-	3	+	3	-
3	+	3	+	3	+
3	-	3	+	3	+
3	-	3	+	3	+
3	-	3	+	3	+
4	+	4	-	4	+
4	-	4	-	4	-
4	-	4	-	4	-
4	-	4	-	4	-
4	+	4	-	4	-
4	+	4	+	4	+
4	-	4	-	4	+
4	-	4	+	4	-
4	-	4	+	4	+
4	-	4	-	4	-
4	+	4	-	4	+
4	+	4	-	4	+
4	-	4	+	4	-
4	-	4	+	4	-
4	-	4	+	4	+
4	-	4	-	4	-
4	-	4	+	4	+
4	-	4	+	4	-
4	+	4	+	4	+
4	+	4	+	4	+
4	-	4	+	4	-
4	-	4	-	4	-
5	+	5	-	5	-
5	-	5	-	5	-
5	-	5	-	5	+
5	-	5	-	5	-
5	+	5	-	5	-
5	+	5	+	5	-
5	+	5	-	5	-
5	-	5	+	5	-
5	-	5	-	5	-
5	-	5	-	5	-
5	+	5	+	5	+
5	+	5	+	5	-
5	-	5	+	5	+
5	-	5	+	5	+
5	-	5	-	5	-
5	-	5	+	5	+
5	-	5	+	5	-
5	-	5	+	5	+
5	+	5	+	5	+
5	+	5	-	5	-
5	+	5	+	5	-
5	+	5	+	5	-
6	+	6	-	6	+
6	-	6	-	6	-
6	-	6	+	6	+
6	+	6	-	6	-
6	-	6	-	6	-
6	+	6	+	6	-
6	+	6	-	6	-
6	-	6	+	6	+
6	-	6	-	6	-
6	-	6	-	6	-
6	+	6	+	6	+
6	+	6	+	6	+
6	-	6	+	6	+
6	-	6	+	6	-
6	-	6	+	6	+
6	-	6	+	6	-
6	-	6	+	6	-
6	+	6	+	6	-
6	+	6	+	6	+
6	+	6	-	6	-
6	+	6	+	6	-
6	+	6	+	6	+
7	+	7	-	7	+
7	-	7	+	7	+
7	-	7	-	7	-
7	+	7	+	7	-
7	-	7	-	7	-
7	+	7	+	7	-
7	+	7	+	7	-
7	-	7	+	7	-
7	-	7	+	7	-
7	-	7	-	7	+
7	+	7	+	7	+
7	+	7	+	7	-
7	-	7	+	7	-
7	-	7	+	7	-
7	-	7	+	7	+
7	-	7	+	7	+
7	-	7	+	7	+
7	+	7	+	7	+
7	+	7	+	7	+
7	+	7	+	7	+
7	+	7	+	7	-
7	+	7	+	7	+
8	-	8	-	8	+
8	-	8	-	8	-
8	-	8	+	8	+
8	-	8	-	8	-
8	+	8	-	8	-
8	+	8	+	8	-
8	+	8	+	8	+
8	-	8	+	8	+
8	-	8	-	8	-
8	-	8	+	8	-
8	+	8	+	8	+
8	+	8	+	8	+
8	-	8	+	8	+
8	-	8	+	8	+
8	-	8	+	8	+
8	-	8	+	8	+
8	-	8	+	8	+
8	+	8	+	8	+
8	+	8	+	8	+
8	+	8	+	8	+
8	+	8	+	8	-
8	+	8	+	8	+
9	-	9	+	9	+
9	-	9	-	9	-
9	-	9	+	9	+
9	-	9	+	9	+
9	+	9	+	9	+
9	+	9	+	9	+
9	+	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	+
9	-	9	-	9	-
9	+	9	+	9	+
9	+	9	+	9	+
9	+	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	+
9	+	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	+
9	+	9	+	9	+
9	+	9	+	9	+
9	+	9	+	9	-
9	+	9	+	9	+
