CS_amp_mb	CS_amp_dtest	HB_amp_mb	HB_amp_dtest	ICNV_amp_mb	INCV_amp_dtest
1	-	1	+	1	+
1	-	1	+	1	-
1	-	1	-	1	-
1	-	1	+	1	-
1	-	1	+	1	+
1	-	1	+	1	-
1	-	1	+	1	-
1	-	1	+	1	-
1	-	1	-	1	-
1	-	1	+	1	+
1	-	1	+	1	+
1	-	1	+	1	+
1	-	1	+	1	+
1	-	1	+	1	-
1	+	1	+	1	+
1	+	1	+	1	+
1	+	1	+	1	+
1	+	1	+	1	+
1	+	1	+	1	+
1	-	1	+	1	+
1	-	1	+	1	-
1	-	1	+	1	+
2	-	2	+	2	-
2	-	2	+	2	+
2	-	2	+	2	-
2	-	2	+	2	+
2	-	2	+	2	+
2	-	2	+	2	-
2	-	2	+	2	-
2	-	2	+	2	-
2	-	2	+	2	+
2	-	2	+	2	+
2	-	2	+	2	+
2	-	2	+	2	+
2	-	2	+	2	-
2	-	2	+	2	+
2	+	2	+	2	+
2	+	2	+	2	+
2	+	2	+	2	+
2	+	2	+	2	-
2	+	2	+	2	+
2	+	2	+	2	+
2	+	2	+	2	+
2	-	2	+	2	+
3	-	3	+	3	+
3	-	3	-	3	-
3	-	3	+	3	+
3	-	3	+	3	+
3	+	3	+	3	+
3	+	3	+	3	+
3	+	3	+	3	+
3	-	3	+	3	+
3	-	3	+	3	+
3	-	3	+	3	+
3	-	3	+	3	+
3	-	3	-	3	-
3	+	3	+	3	+
3	+	3	+	3	+
3	+	3	+	3	+
3	+	3	+	3	+
3	+	3	+	3	+
3	+	3	+	3	+
3	+	3	+	3	+
3	+	3	+	3	+
3	-	3	+	3	+
3	-	3	+	3	+
4	-	4	+	4	+
4	-	4	+	4	+
4	-	4	+	4	+
4	-	4	-	4	-
4	-	4	+	4	+
4	+	4	+	4	+
4	+	4	+	4	+
4	+	4	+	4	+
4	+	4	+	4	+
4	+	4	+	4	+
4	-	4	+	4	+
4	-	4	-	4	+
4	-	4	+	4	+
4	-	4	+	4	+
4	+	4	+	4	+
4	+	4	+	4	+
4	+	4	+	4	+
4	+	4	+	4	+
4	+	4	+	4	+
4	+	4	+	4	+
4	-	4	-	4	-
4	-	4	-	4	-
5	-	5	+	5	+
5	-	5	+	5	+
5	-	5	+	5	+
5	-	5	+	5	+
5	-	5	+	5	+
5	-	5	+	5	+
5	-	5	+	5	+
5	-	5	+	5	+
5	-	5	-	5	+
5	-	5	+	5	+
5	+	5	+	5	+
5	+	5	+	5	+
5	+	5	+	5	+
5	+	5	+	5	+
5	+	5	+	5	+
5	-	5	+	5	+
5	+	5	+	5	+
5	+	5	+	5	+
5	+	5	+	5	+
5	-	5	+	5	+
5	-	5	+	5	+
5	-	5	+	5	+
6	+	6	+	6	+
6	-	6	+	6	+
6	-	6	+	6	+
6	-	6	+	6	+
6	-	6	+	6	+
6	-	6	+	6	+
6	-	6	+	6	+
6	+	6	+	6	+
6	+	6	+	6	+
6	-	6	+	6	+
6	-	6	+	6	+
6	-	6	+	6	+
6	+	6	+	6	+
6	+	6	+	6	+
6	+	6	+	6	+
6	+	6	+	6	+
6	+	6	+	6	+
6	+	6	+	6	+
6	+	6	+	6	+
6	-	6	+	6	+
6	-	6	+	6	-
6	-	6	+	6	+
7	-	7	+	7	+
7	+	7	+	7	+
7	-	7	+	7	-
7	-	7	+	7	+
7	-	7	+	7	+
7	-	7	+	7	+
7	-	7	+	7	+
7	-	7	+	7	+
7	-	7	+	7	+
7	-	7	+	7	+
7	-	7	+	7	+
7	-	7	+	7	+
7	+	7	+	7	+
7	+	7	+	7	+
7	+	7	+	7	+
7	+	7	+	7	+
7	+	7	+	7	+
7	+	7	+	7	+
7	+	7	+	7	+
7	-	7	+	7	+
7	-	7	+	7	-
7	-	7	+	7	+
8	-	8	+	8	+
8	-	8	+	8	+
8	-	8	+	8	+
8	-	8	+	8	-
8	-	8	+	8	+
8	-	8	+	8	+
8	-	8	+	8	+
8	-	8	+	8	+
8	-	8	+	8	+
8	-	8	+	8	+
8	-	8	+	8	+
8	-	8	+	8	+
8	+	8	+	8	+
8	+	8	+	8	+
8	+	8	+	8	+
8	+	8	+	8	+
8	+	8	+	8	+
8	+	8	+	8	+
8	+	8	+	8	+
8	-	8	+	8	+
8	-	8	+	8	-
8	-	8	+	8	+
9	-	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	+
9	+	9	+	9	+
9	+	9	+	9	+
9	+	9	+	9	+
9	+	9	+	9	+
9	+	9	+	9	+
9	+	9	+	9	+
9	-	9	+	9	+
9	-	9	+	9	-
9	-	9	+	9	+
